dp_ind,Prompt
s5/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s5/doorknob_lift.npz,The person is interacting with a doorknob.
s5/waterbottle_open_1.npz,The person is interacting with a waterbottle.
s5/binoculars_see_1.npz,The person is interacting with a binoculars.
s5/flashlight_on_1.npz,The person is interacting with a flashlight.
s5/binoculars_lift.npz,The person is interacting with a binoculars.
s5/cup_drink_2.npz,The person is drinking from a cup.
s5/bowl_drink_1.npz,The person is drinking from a bowl.
s5/airplane_lift.npz,The person is interacting with a airplane.
s5/cubemedium_lift.npz,The person is interacting with a medium cube.
s5/mouse_pass_1.npz,The person is passing a mouse.
s5/alarmclock_lift.npz,The person is interacting with a alarmclock.
s5/gamecontroller_pass_1.npz,The person is passing a gamecontroller.
s5/flashlight_on_2.npz,The person is interacting with a flashlight.
s5/toothpaste_pass_1.npz,The person is passing a toothpaste.
s5/bowl_drink_2.npz,The person is drinking from a bowl.
s5/banana_pass_1.npz,The person is passing a banana.
s5/cup_pass_1.npz,The person is passing a cup.
s5/duck_pass_1.npz,The person is passing a duck.
s5/pyramidlarge_inspect_1.npz,The person is inspecting a large pyramid.
s5/mug_pass_1.npz,The person is passing a mug.
s5/stamp_stamp_1.npz,The person is stamping a stamp.
s5/wineglass_lift.npz,The person is interacting with a wineglass.
s5/elephant_inspect_1.npz,The person is inspecting a elephant.
s5/cubemedium_pass_1.npz,The person is passing a medium cube.
s5/spherelarge_lift.npz,The person is interacting with a large sphere.
s5/toruslarge_lift.npz,The person is interacting with a large torus.
s5/spheremedium_pass_1.npz,The person is passing a medium sphere.
s5/mouse_use_1.npz,The person is useing a mouse.
s5/cubelarge_lift.npz,The person is interacting with a large cube.
s5/hand_pass_1.npz,The person is passing a hand.
s5/spheresmall_inspect_1.npz,The person is inspecting a small sphere.
s5/stanfordbunny_lift.npz,The person is interacting with a stanfordbunny.
s5/torusmedium_inspect_1.npz,The person is inspecting a medium torus.
s5/gamecontroller_play_1.npz,The person is playing a gamecontroller.
s5/eyeglasses_clean_2.npz,The person is cleaning a eyeglasses.
s5/mug_toast_1.npz,The person is toasting a mug.
s5/elephant_lift.npz,The person is interacting with a elephant.
s5/piggybank_use_1.npz,The person is useing a piggybank.
s5/piggybank_lift.npz,The person is interacting with a piggybank.
s5/spherelarge_pass_1.npz,The person is passing a large sphere.
s5/hammer_pass_1.npz,The person is passing a hammer.
s5/waterbottle_shake_1.npz,The person is shakeing a waterbottle.
s5/wineglass_toast_1.npz,The person is toasting a wineglass.
s5/elephant_pass_1.npz,The person is passing a elephant.
s5/cubelarge_inspect_1.npz,The person is inspecting a large cube.
s5/stanfordbunny_inspect_1.npz,The person is inspecting a stanfordbunny.
s5/hammer_use_1.npz,The person is useing a hammer.
s5/cylinderlarge_inspect_1.npz,The person is inspecting a large cylinder.
s5/cubesmall_lift.npz,The person is interacting with a small cube.
s5/train_pass_1.npz,The person is passing a train.
s5/spheremedium_lift.npz,The person is interacting with a medium sphere.
s5/stapler_pass_1.npz,The person is passing a stapler.
s5/spheremedium_inspect_1.npz,The person is inspecting a medium sphere.
s5/alarmclock_see_1.npz,The person is interacting with a alarmclock.
s5/cylindermedium_lift.npz,The person is interacting with a medium cylinder.
s5/duck_lift.npz,The person is interacting with a duck.
s5/cylindermedium_inspect_1.npz,The person is inspecting a medium cylinder.
s5/flute_pass_1.npz,The person is passing a flute.
s5/wineglass_pass_1.npz,The person is passing a wineglass.
s5/cup_pour_1.npz,The person is pouring a cup.
s5/bowl_pass_1.npz,The person is passing a bowl.
s5/hand_inspect_1.npz,The person is inspecting a hand.
s5/pyramidlarge_pass_1.npz,The person is passing a large pyramid.
s5/teapot_pass_1.npz,The person is passing a teapot.
s5/cylindermedium_pass_1.npz,The person is passing a medium cylinder.
s5/cubesmall_pass_1.npz,The person is passing a small cube.
s5/piggybank_pass_1.npz,The person is passing a piggybank.
s5/cylinderlarge_lift.npz,The person is interacting with a large cylinder.
s5/cubelarge_pass_1.npz,The person is passing a large cube.
s5/waterbottle_lift.npz,The person is interacting with a waterbottle.
s5/airplane_pass_1.npz,The person is passing a airplane.
s5/scissors_pass_1.npz,The person is passing a scissors.
s5/toothbrush_brush_1.npz,The person is brushing a toothbrush.
s5/toruslarge_pass_1.npz,The person is passing a large torus.
s5/spherelarge_inspect_1.npz,The person is inspecting a large sphere.
s5/stamp_pass_1.npz,The person is passing a stamp.
s5/cylindersmall_pass_1.npz,The person is passing a small cylinder.
s5/banana_peel_2.npz,The person is peeling a banana.
s5/flute_play_1.npz,The person is playing a flute.
s5/mug_drink_1.npz,The person is drinking from a mug.
s5/cylinderlarge_pass_1.npz,The person is passing a large cylinder.
s5/apple_pass_1.npz,The person is passing a apple.
s5/wineglass_drink_2.npz,The person is drinking from a wineglass.
